win_team,lose_team,probability,WLoc
Boston Celtics,Philadelphia 76ers,0.5987069397542792,H
Oklahoma City Thunder,Golden State Warriors,0.5999149665111021,V
Milwaukee Bucks,Charlotte Hornets,0.7004972651425625,V
Detroit Pistons,Brooklyn Nets,0.6924788581102155,H
New Orleans Pelicans,Houston Rockets,0.5545124330927376,V
Indiana Pacers,Memphis Grizzlies,0.7996128231788238,H
Los Angeles Clippers,Denver Nuggets,0.7036272387564291,H
Atlanta Hawks,New York Knicks,0.5774451409099807,V
Orlando Magic,Miami Heat,0.7255833630224859,H
Phoenix Suns,Dallas Mavericks,0.9559621314821602,H
Utah Jazz,Sacramento Kings,0.9094039025923476,V
San Antonio Spurs,Minnesota Timberwolves,0.578344444996665,H
Toronto Raptors,Cleveland Cavaliers,0.9926338020038331,H
Philadelphia 76ers,Chicago Bulls,0.9807408526087099,H
Portland Trail Blazers,Los Angeles Lakers,0.8051544074854472,H
Washington Wizards,Miami Heat,0.8529288775134554,H
New York Knicks,Brooklyn Nets,0.5242576359271227,V
Los Angeles Clippers,Oklahoma City Thunder,0.6547697740894255,H
Memphis Grizzlies,Atlanta Hawks,0.7885329305023644,H
Indiana Pacers,Milwaukee Bucks,0.5042481584442227,V
Minnesota Timberwolves,Cleveland Cavaliers,0.9814860479450778,H
Sacramento Kings,New Orleans Pelicans,0.7774792993053745,V
Charlotte Hornets,Orlando Magic,0.6131963854011724,V
Toronto Raptors,Boston Celtics,0.7301136028799605,H
Utah Jazz,Golden State Warriors,0.649359808065204,H
Detroit Pistons,Chicago Bulls,0.715177129793745,V
Minnesota Timberwolves,Dallas Mavericks,0.7329051336978347,V
Denver Nuggets,Phoenix Suns,0.6783122251434961,H
Indiana Pacers,Brooklyn Nets,0.632426405679248,H
Houston Rockets,Los Angeles Lakers,0.6887529089954558,V
Miami Heat,Charlotte Hornets,0.6203474729638201,H
Boston Celtics,New York Knicks,0.7589652244045872,V
Philadelphia 76ers,Orlando Magic,0.9599224476323999,H
Portland Trail Blazers,San Antonio Spurs,0.7545826765145699,H
Toronto Raptors,Washington Wizards,0.5103955351057159,V
Cleveland Cavaliers,Atlanta Hawks,0.8580969504358684,H
Golden State Warriors,Denver Nuggets,0.7388462771108957,V
Los Angeles Clippers,Houston Rockets,0.7291271979809045,H
Oklahoma City Thunder,Sacramento Kings,0.9362590003266011,H
Boston Celtics,Orlando Magic,0.9805640715733402,H
Dallas Mavericks,Chicago Bulls,0.9235787600109883,H
Golden State Warriors,Phoenix Suns,0.7975713120851461,H
San Antonio Spurs,Los Angeles Lakers,0.7674728847716724,V
Milwaukee Bucks,New York Knicks,0.9688508798081443,H
Indiana Pacers,Minnesota Timberwolves,0.6670381127481368,V
Portland Trail Blazers,Washington Wizards,0.873007112720367,H
